payment_id,merchant_id,customer_id,transaction_amount,payment_method,failure_reason,attempt_count,customer_success_rate,customer_failure_rate,customer_value,hour_of_day,day_of_week,recovery_attempted,recovery_strategy,recovery_success
00000000-0000-0000-0000-0000000186a0,00000000-0000-0000-0000-000000000010,00000000-0000-0000-0000-0000000005a7,104,emi,BANK_TIMEOUT,3,0.9061,0.0939,14760.52,13,6,True,SWITCH_PAYMENT_METHOD,1
00000000-0000-0000-0000-0000000186a1,00000000-0000-0000-0000-000000000006,00000000-0000-0000-0000-00000000042a,2278,card,NETWORK_ERROR,2,0.6545,0.3455,28855.12,22,3,True,RETRY_LATER,0
00000000-0000-0000-0000-0000000186a2,00000000-0000-0000-0000-000000000018,00000000-0000-0000-0000-0000000004d8,824,upi,NETWORK_ERROR,2,0.2597,0.7403,26077.43,9,4,True,RETRY_LATER,0
00000000-0000-0000-0000-0000000186a3,00000000-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000997,154,upi,INSUFFICIENT_FUNDS,2,0.9838,0.0162,23607.06,6,6,True,RETRY_LATER,1
00000000-0000-0000-0000-0000000186a4,00000000-0000-0000-0000-000000000012,00000000-0000-0000-0000-00000000058f,2830,netbanking,INSUFFICIENT_FUNDS,1,0.9138,0.0862,27122.37,18,4,True,RETRY_LATER,1
00000000-0000-0000-0000-0000000186a5,00000000-0000-0000-0000-000000000005,00000000-0000-0000-0000-00000000067e,10368,emi,NETWORK_ERROR,1,0.7365,0.2635,4201.85,9,6,True,RETRY_NOW,1
00000000-0000-0000-0000-0000000186a6,00000000-0000-0000-0000-00000000000b,00000000-0000-0000-0000-000000000957,275,netbanking,BANK_TIMEOUT,2,0.8042,0.1958,19741.79,10,3,True,RETRY_LATER,0
00000000-0000-0000-0000-0000000186a7,00000000-0000-0000-0000-00000000000e,00000000-0000-0000-0000-00000000061f,3129,netbanking,BANK_TIMEOUT,3,0.4605,0.5395,13903.19,1,1,True,SWITCH_PAYMENT_METHOD,1
00000000-0000-0000-0000-0000000186a8,00000000-0000-0000-0000-000000000018,00000000-0000-0000-0000-00000000067b,1127,netbanking,PAYMENT_METHOD_FAILURE,2,0.853,0.147,187789.99,8,3,True,SWITCH_PAYMENT_METHOD,1
00000000-0000-0000-0000-0000000186a9,00000000-0000-0000-0000-000000000016,00000000-0000-0000-0000-0000000008f7,724,card,INSUFFICIENT_FUNDS,1,0.7168,0.2832,9961.01,22,5,True,RETRY_LATER,0
00000000-0000-0000-0000-0000000186aa,00000000-0000-0000-0000-000000000018,00000000-0000-0000-0000-0000000004a6,726,card,PAYMENT_METHOD_FAILURE,2,0.8301,0.1699,7543.93,10,2,True,SWITCH_PAYMENT_METHOD,1
00000000-0000-0000-0000-0000000186ab,00000000-0000-0000-0000-000000000011,00000000-0000-0000-0000-0000000007cf,1127,card,BANK_TIMEOUT,2,0.9333,0.0667,26779.55,15,5,True,RETRY_LATER,1
00000000-0000-0000-0000-0000000186ac,00000000-0000-0000-0000-000000000010,00000000-0000-0000-0000-000000000792,1122,upi,PAYMENT_METHOD_FAILURE,3,0.9408,0.0592,2111.0,16,6,True,SWITCH_PAYMENT_METHOD,1
00000000-0000-0000-0000-0000000186ad,00000000-0000-0000-0000-000000000010,00000000-0000-0000-0000-0000000005a6,1720,emi,CUSTOMER_ABANDONMENT,1,0.724,0.276,26374.17,12,2,True,SEND_PAYMENT_LINK,0
